,Total Homicides,Homicides per Capita,Included Population
2016-01-01,1134,0.35,316674065
2016-02-01,973,0.3,316415636
2016-03-01,1136,0.35,316471293
2016-04-01,1201,0.37,316125535
2016-05-01,1304,0.4,315925285
2016-06-01,1336,0.41,316056194
2016-07-01,1446,0.45,315751466
2016-08-01,1454,0.45,315690642
2016-09-01,1340,0.41,315354487
2016-10-01,1377,0.43,315080739
2016-11-01,1351,0.42,314924961
2016-12-01,1268,0.39,314862034
2017-01-01,1368,0.42,318925181
2017-02-01,1029,0.31,318294731
2017-03-01,1156,0.35,318328908
2017-04-01,1224,0.37,318225731
2017-05-01,1308,0.4,318040547
2017-06-01,1282,0.39,317587044
2017-07-01,1431,0.43,317398774
2017-08-01,1336,0.41,317289198
2017-09-01,1282,0.39,316244367
2017-10-01,1379,0.42,316597601
2017-11-01,1237,0.38,315631050
2017-12-01,1272,0.39,315515967
2018-01-01,1255,0.38,323201225
2018-02-01,1032,0.31,322649735
2018-03-01,1131,0.34,322616047
2018-04-01,1214,0.37,322317826
2018-05-01,1267,0.38,322122428
2018-06-01,1339,0.41,322150125
2018-07-01,1344,0.41,321845126
2018-08-01,1292,0.39,321681546
2018-09-01,1229,0.37,321336329
2018-10-01,1173,0.36,321628287
2018-11-01,1155,0.35,321284170
2018-12-01,1186,0.36,320946794
2019-01-01,1191,0.36,321034556
2019-02-01,1063,0.32,320731089
2019-03-01,1153,0.35,320951671
2019-04-01,1129,0.34,320815124
2019-05-01,1314,0.4,320641836
2019-06-01,1303,0.39,320185373
2019-07-01,1322,0.4,312516800
2019-08-01,1296,0.39,318966106
2019-09-01,1258,0.38,316387434
2019-10-01,1224,0.37,316615319
2019-11-01,1174,0.35,316368334
2019-12-01,1285,0.39,316223354
2020-01-01,1254,0.38,321364533
2020-02-01,1086,0.33,320452894
2020-03-01,1295,0.39,319824638
2020-04-01,1334,0.4,319557902
2020-05-01,1583,0.48,319301928
2020-06-01,1811,0.54,319149113
2020-07-01,1895,0.57,318755373
2020-08-01,1820,0.55,317957513
2020-09-01,1698,0.51,317196835
2020-10-01,1872,0.56,316064394
2020-11-01,1688,0.51,317059539
2020-12-01,1705,0.51,316905959
2021-01-01,1304,0.39,243939691
2021-02-01,1120,0.33,243709997
2021-03-01,1131,0.34,248106468
2021-04-01,1270,0.38,249052683
2021-05-01,1474,0.44,249231878
2021-06-01,1429,0.43,253322416
2021-07-01,1627,0.49,253165261
2021-08-01,1471,0.44,254770174
2021-09-01,1540,0.46,255321647
2021-10-01,1577,0.47,257742708
2021-11-01,1412,0.42,257422081
2021-12-01,1372,0.41,259123957
2022-01-01,1602,0.48,310706805
2022-02-01,1437,0.43,312255359
2022-03-01,1602,0.48,316487244
2022-04-01,1656,0.49,316079472
2022-05-01,1853,0.55,316129951
2022-06-01,1770,0.53,315888592
2022-07-01,1981,0.59,315720574
2022-08-01,1800,0.53,314552906
2022-09-01,1617,0.48,312908255
2022-10-01,1697,0.5,312359145
2022-11-01,1454,0.43,312171964
2022-12-01,1502,0.45,313539493
2023-01-01,1580,0.47,314447541
2023-02-01,1310,0.39,313250355
2023-03-01,1475,0.44,314999945
2023-04-01,1461,0.43,314784656
2023-05-01,1579,0.47,314654901
2023-06-01,1616,0.48,314362273
2023-07-01,1708,0.5,313044054
2023-08-01,1522,0.45,313965753
2023-09-01,1425,0.42,313322278
2023-10-01,1468,0.43,312936094
2023-11-01,1268,0.37,310852582
2023-12-01,1310,0.39,309170562
