Year,Violent Crimes,Violent Crime Rate,Property Crimes,Property Crime Rate,Total Pop,Partic Pop,Pop Coverage,Total Crime Rate,Poverty Count,Poverty Rate,Total Crimes
2000,1349869,479.66,9473382,3366.26,281421906,250309101,88.94,3845.92,0,,10823251
2001,1366375,479.77,9805793,3443.08,284796887,256360679,90.02,3922.85,0,,11172168
2002,1363613,472.87,9934397,3445.03,288368698,264656793,91.78,3917.9,0,,11298010
2003,1318028,453.23,9884249,3398.87,290809777,265089169,91.16,3852.1,0,,11202277
2004,1314403,447.6,9881846,3365.12,293655404,273286189,93.06,3812.72,0,,11196249
2005,1334388,450.18,9716049,3277.9,296410404,274851887,92.73,3728.09,0,,11050437
2006,1396119,466.31,9736796,3252.12,299398484,286303155,95.63,3718.43,0,,11132915
2007,1388692,460.41,9630849,3193.03,301621157,289266728,95.9,3653.44,0,,11019541
2008,1363769,448.52,9560880,3144.41,304059724,293527891,96.54,3592.93,0,,10924649
2009,1298184,422.85,9138207,2976.55,307006550,296009686,96.42,3399.4,39537240,12.88,10436391
2010,1233871,399.64,8955064,2900.47,308745538,300330199,97.27,3300.11,40917513,13.25,10188935
2011,1191995,382.55,8935393,2867.66,311591917,304330525,97.67,3250.21,42739924,13.72,10127388
2012,1203773,383.47,8874177,2826.94,313914040,306513534,97.64,3210.42,44852527,14.29,10077950
2013,1166083,368.86,8503812,2689.98,316128839,304776218,96.41,3058.85,46663433,14.76,9669895
2014,1160603,363.99,8045165,2523.13,318857056,310177576,97.28,2887.11,47755606,14.98,9205768
2015,1206473,375.36,7823780,2434.14,321418820,311693841,96.97,2809.5,47749043,14.86,9030253
2016,1262062,390.58,7795949,2412.65,323127513,314862034,97.44,2803.23,46932225,14.52,9058011
2017,1261269,383.3,7525008,2286.84,329056355,315515967,95.89,2670.14,45650345,13.87,8786277
2018,1238526,374.9,7103223,2150.13,330362587,320946794,97.15,2525.03,44257979,13.4,8341749
2019,1212847,365.94,6716670,2026.55,331433049,316223354,95.41,2392.49,42510843,12.83,7929517
2020,1271539,382.16,6230075,1872.43,332726731,316905959,95.25,2254.59,40910326,12.3,7501614
2021,925780,276.03,4529879,1350.61,335395039,259123957,77.26,1626.64,40661636,12.12,5455659
2022,1251702,371.7,6297512,1870.1,336746447,313539493,93.11,2241.81,40521584,12.03,7549214
2023,1201857,355.2,6119495,1808.59,338357687,309170562,91.37,2163.79,40390045,11.94,7321352
